,AUC,J,ER,CZ,IU,Data.gen
Emp,0.007 ± 0.065,-0.001 ± 0.136,-0.001 ± 0.136,0 ± 0.137,-0.001 ± 0.133,BN equal
BN,-0.002 ± 0.065,0.001 ± 0.204,-0.002 ± 0.128,0 ± 0.143,0.001 ± 0.183,BN equal
BG,-0.205 ± 0.013,1.846 ± 1.123,1.773 ± 1.123,1.775 ± 1.126,1.851 ± 1.121,BN equal
BiChi,-0.208 ± 0.024,-0.001 ± 0.133,0.4 ± 0.185,0.419 ± 0.179,0.338 ± 0.178,BN equal
NonPar,0.003 ± 0.065,-0.001 ± 0.18,0 ± 0.161,0 ± 0.165,0.001 ± 0.156,BN equal
PV,-0.002 ± 0.065,0.001 ± 0.204,-0.001 ± 0.128,0 ± 0.143,0.001 ± 0.184,BN equal
Semi.PV,-0.009 ± 0.065,-0.001 ± 0.207,-0.006 ± 0.133,-0.002 ± 0.146,-0.001 ± 0.182,BN equal
Emp1,0.007 ± 0.07,0.166 ± 0.124,-0.052 ± 0.121,0.058 ± 0.125,-0.112 ± 0.128,BN unequal
BN1,-0.001 ± 0.066,-0.004 ± 0.111,-0.006 ± 0.09,-0.004 ± 0.092,-0.002 ± 0.128,BN unequal
BG1,-0.221 ± 0.013,1.854 ± 0.997,1.564 ± 0.996,1.678 ± 0.998,1.566 ± 0.996,BN unequal
BiChi1,-0.286 ± 0.056,14.346 ± 16.485,10.431 ± 11.404,10.449 ± 11.273,0.803 ± 21.288,BN unequal
NonPar1,0.002 ± 0.068,0.154 ± 0.155,-0.043 ± 0.136,0.057 ± 0.141,-0.067 ± 0.174,BN unequal
PV1,-0.001 ± 0.066,-0.005 ± 0.111,-0.006 ± 0.091,-0.004 ± 0.092,-0.003 ± 0.127,BN unequal
Semi.PV1,-0.005 ± 0.066,-0.006 ± 0.111,-0.01 ± 0.091,-0.004 ± 0.093,-0.01 ± 0.13,BN unequal
Emp2,-0.171 ± 0.078,1.105 ± 0.201,0.972 ± 0.201,1.029 ± 0.201,1.044 ± 0.21,Skewed I
BN2,-0.199 ± 0.077,1.51 ± 1.021,1.025 ± 0.262,1.12 ± 0.306,1.078 ± 0.214,Skewed I
BG2,-0.273 ± 0.017,3.376 ± 1.495,3.252 ± 1.471,3.303 ± 1.474,3.398 ± 1.481,Skewed I
BiChi2,-0.253 ± 0.052,1.145 ± 0.26,1.921 ± 0.578,1.995 ± 0.57,1.865 ± 0.574,Skewed I
NonPar2,-0.173 ± 0.077,1.081 ± 0.259,0.933 ± 0.269,0.991 ± 0.266,0.945 ± 0.372,Skewed I
PV2,-0.199 ± 0.076,1.51 ± 1.021,1.024 ± 0.263,1.12 ± 0.306,1.076 ± 0.214,Skewed I
Semi.PV2,-0.18 ± 0.132,1.458 ± 2.34,1.104 ± 0.985,1.209 ± 0.964,1.04 ± 0.892,Skewed I
Emp3,0.007 ± 0.064,1.107 ± 0.351,0.872 ± 0.351,0.965 ± 0.351,0.992 ± 0.357,Skewed II
BN3,-0.081 ± 0.077,1.517 ± 0.742,0.873 ± 0.37,1.088 ± 0.434,0.989 ± 0.412,Skewed II
BG3,-0.248 ± 0.016,5.172 ± 2.785,4.774 ± 2.764,4.864 ± 2.763,5.07 ± 2.79,Skewed II
BiChi3,-0.216 ± 0.041,1.129 ± 0.349,1.769 ± 0.657,1.937 ± 0.656,1.717 ± 0.604,Skewed II
NonPar3,0.002 ± 0.063,1.013 ± 0.575,0.772 ± 0.56,0.868 ± 0.591,0.849 ± 0.595,Skewed II
PV3,-0.076 ± 0.083,1.468 ± 0.718,0.859 ± 0.364,1.057 ± 0.418,1.002 ± 0.397,Skewed II
Semi.PV3,-0.041 ± 0.179,0.771 ± 1.924,0.685 ± 1.222,0.776 ± 1.356,0.754 ± 1.152,Skewed II
Emp4,0.004 ± 0.064,0.067 ± 0.042,0.109 ± 0.043,0.097 ± 0.043,0.106 ± 0.044,Skewed III
BN4,-0.031 ± 0.043,0.071 ± 0.042,0.067 ± 0.03,0.086 ± 0.036,0.022 ± 0.024,Skewed III
BG4,-0.205 ± 0.009,0.591 ± 0.329,0.612 ± 0.325,0.6 ± 0.325,0.633 ± 0.328,Skewed III
BiChi4,-0.142 ± 0.003,0.067 ± 0.041,0.169 ± 0.054,0.17 ± 0.058,0.153 ± 0.051,Skewed III
NonPar4,0.002 ± 0.062,0.058 ± 0.046,0.097 ± 0.054,0.086 ± 0.05,0.092 ± 0.064,Skewed III
PV4,0.016 ± 0.055,0.047 ± 0.041,0.053 ± 0.029,0.062 ± 0.033,0.032 ± 0.023,Skewed III
Semi.PV4,0.085 ± 0.134,0.007 ± 0.074,0.035 ± 0.054,0.029 ± 0.063,0.034 ± 0.05,Skewed III
Emp5,0.006 ± 0.065,-0.379 ± 0.258,0.092 ± 0.254,-0.145 ± 0.259,0.259 ± 0.256,Mixed I
BN5,-0.002 ± 0.063,0.008 ± 0.226,-0.003 ± 0.18,-0.005 ± 0.189,-0.003 ± 0.223,Mixed I
BG5,-0.211 ± 0.013,3.049 ± 1.979,3.399 ± 1.981,3.16 ± 1.986,3.72 ± 1.977,Mixed I
BiChi5,-0.169 ± 0.008,-0.387 ± 0.251,0.498 ± 0.318,0.337 ± 0.319,0.586 ± 0.279,Mixed I
NonPar5,0.004 ± 0.064,-0.366 ± 0.308,0.076 ± 0.292,-0.137 ± 0.297,0.157 ± 0.358,Mixed I
PV5,-0.002 ± 0.064,0.002 ± 0.229,-0.006 ± 0.177,-0.01 ± 0.191,-0.007 ± 0.224,Mixed I
Semi.PV5,-0.011 ± 0.07,-0.077 ± 0.243,-0.062 ± 0.197,-0.102 ± 0.204,-0.019 ± 0.251,Mixed I
Emp6,-0.033 ± 0.071,-0.405 ± 0.179,-0.064 ± 0.175,-0.137 ± 0.177,-0.208 ± 0.176,Mixed II
BN6,-0.04 ± 0.071,0.003 ± 0.261,-0.006 ± 0.174,-0.002 ± 0.186,-0.137 ± 0.185,Mixed II
BG6,-0.194 ± 0.014,1.963 ± 1.284,2.23 ± 1.293,2.156 ± 1.295,2.18 ± 1.297,Mixed II
BiChi6,-0.17 ± 0.017,-0.408 ± 0.174,0.325 ± 0.232,0.289 ± 0.234,0.117 ± 0.208,Mixed II
NonPar6,-0.035 ± 0.071,-0.39 ± 0.263,-0.056 ± 0.218,-0.131 ± 0.225,-0.225 ± 0.195,Mixed II
PV6,-0.04 ± 0.071,0.004 ± 0.26,-0.006 ± 0.174,-0.002 ± 0.186,-0.137 ± 0.186,Mixed II
Semi.PV6,-0.045 ± 0.068,-0.006 ± 0.26,-0.014 ± 0.172,-0.012 ± 0.191,-0.147 ± 0.195,Mixed II